Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
REST	RE1-silencing transcription factor	6	2.74e-07	1.81e-05	CHGA,TAC1,PCSK1,CARTPT,VGF,CHGB
HDAC1	histone deacetylase 1	7	2.52e-06	8.33e-05	HMGCS1,SPP1,SFRP1,GRIN2B,FOS,HSPA5,CDKN1A
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	9.2e-06	0.000202	CLU,EZR,FOS,NTS,NEFL,NPPA
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	5.02e-05	0.000829	SFRP1,CDH6,CDKN1A
RARA	retinoic acid receptor, alpha	4	6.75e-05	0.000891	CRH,SCD,CRABP1,CDKN1A
JUND	jun D proto-oncogene	4	0.000198	0.00218	SOX4,NTS,CDKN1A,CLU
JUN	jun proto-oncogene	7	0.000304	0.00287	CDKN1A,CCL2,EZR,STMN1,PTN,NTS,NEFL
ESR2	estrogen receptor 2 (ER beta)	3	0.000544	0.00432	FOS,CRH,CDKN1A
MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	4	0.000593	0.00432	LRRN3,EFNB3,CDKN1A,CLU
ETV6	ets variant 6	2	0.00072	0.00432	CDKN1A,IGFBP5
PHOX2B	paired-like homeobox 2b	2	0.00072	0.00432	DBH,PHOX2A
CREB1	cAMP responsive element binding protein 1	5	0.00107	0.00519	NTS,PCSK1,FOS,STMN1,NR2F1
ATF1	activating transcription factor 1	3	0.0011	0.00519	PCSK1,FTH1,NTS
POU5F1	POU class 5 homeobox 1	3	0.0011	0.00519	SPP1,CDKN1A,EOMES
BRCA1	breast cancer 1, early onset	4	0.00145	0.00572	CDKN1A,HSPA5,IGF1,FOS
KLF10	Kruppel-like factor 10	2	0.0015	0.00572	STMN1,CDKN1A
NR2F2	nuclear receptor subfamily 2, group F, member 2	2	0.0015	0.00572	TFAP2A,NTS
HDAC2	histone deacetylase 2	3	0.00156	0.00572	CCL2,CDKN1A,IGF1
HES1	hairy and enhancer of split 1, (Drosophila)	2	0.00198	0.00689	ASCL1,MAP2
RB1	retinoblastoma 1	3	0.00234	0.00706	IGF1,CDKN1A,FOS
HIPK2	homeodomain interacting protein kinase 2	2	0.00253	0.00706	CDKN1A,MEF2C
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	2	0.00253	0.00706	FOS,CDKN1A
TFCP2	transcription factor CP2	2	0.00253	0.00706	SPP1,PAX6
SP1	Sp1 transcription factor	11	0.00257	0.00706	EZR,CCL2,CHGA,ID4,PAX6,GATA3,CDKN1A,SPP1,LPL,PTN,FOS
PAX6	paired box 6	2	0.00383	0.0101	PCSK1,FABP7
OTX2	orthodenticle homeobox 2	2	0.00457	0.0116	PAX6,IGF1
HDAC7	histone deacetylase 7	2	0.00537	0.0131	MEF2C,CDKN1A
ING4	inhibitor of growth family, member 4	2	0.00715	0.0157	CDKN1A,SPP1
JUNB	jun B proto-oncogene	2	0.00715	0.0157	CDKN1A,CLU
TBP	TATA box binding protein	2	0.00715	0.0157	FOS,CDKN1A
SIRT1	sirtuin 1	3	0.0081	0.0172	PAX6,BCL11A,CDKN1A
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	3	0.00957	0.0197	SPP1,IGF1,CCL2
XBP1	X-box binding protein 1	2	0.0114	0.0228	CCL2,HSPA5
EP300	E1A binding protein p300	3	0.0123	0.0237	CRABP1,IGF1,CDKN1A
ELK1	ELK1, member of ETS oncogene family	2	0.0126	0.0237	PTPRZ1,FOS
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2	0.0151	0.027	CCL2,CDKN1A
SOX2	SRY (sex determining region Y)-box 2	2	0.0151	0.027	PAX6,ISL1
TCF4	transcription factor 4	2	0.0193	0.0327	NRXN1,CNTNAP2
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0193	0.0327	FOS,NR2F1
NR1I2	nuclear receptor subfamily 1, group I, member 2	2	0.0208	0.0343	CCL2,KLF6
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	2	0.0223	0.0351	SPP1,SOX4
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0223	0.0351	CCL2,FABP7
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0232	0.0356	CDKN1A,DBH,IGFBP5
RUNX3	runt-related transcription factor 3	2	0.0272	0.0406	CDKN1A,PEA15
ESR1	estrogen receptor 1	3	0.0277	0.0406	CDKN1A,CRH,FOS
E2F1	E2F transcription factor 1	4	0.0284	0.0408	HSPA5,CDKN1A,RASGRP1,NELL2
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	2	0.0362	0.0498	HSPA5,CCL2
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0362	0.0498	NR2F1,FOS
EGR1	early growth response 1	3	0.0401	0.054	STMN1,CHGA,CDKN1A
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.0421	0.0556	SPP1,CDKN1A
YY1	YY1 transcription factor	3	0.0436	0.056	DBH,HSPA5,TFAP2A
PPARA	peroxisome proliferator-activated receptor alpha	2	0.0441	0.056	LPL,TUBA1B
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	6	0.0457	0.0563	GATA3,RGS4,CCL2,CDKN1A,LPL,S100A6
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.0462	0.0563	CDKN1A,SFRP1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	6	0.0469	0.0563	GATA3,CDKN1A,S100A6,RGS4,LPL,CCL2
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.0504	0.0594	CDKN1A,CALB1
IRF1	interferon regulatory factor 1	2	0.0711	0.0823	DST,CDKN1A
SP3	Sp3 transcription factor	3	0.0735	0.0837	LPL,CDKN1A,ID4
WT1	Wilms tumor 1	2	0.0861	0.0963	IGF1,CDKN1A
USF1	upstream transcription factor 1	2	0.107	0.118	ID4,S100A6
PPARG	peroxisome proliferator-activated receptor gamma	2	0.11	0.119	CDKN1A,DBI
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	3	0.123	0.131	FOS,CDKN1A,CCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	2	0.148	0.155	CDKN1A,TFAP2A
STAT1	signal transducer and activator of transcription 1, 91kDa	2	0.163	0.168	CDKN1A,CCL2
AR	androgen receptor	2	0.19	0.193	CRH,CDKN1A
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.212	0.212	SFRP1,CDKN1A
