Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
SP1	Sp1 transcription factor	24	7.91e-09	7.67e-07	EDNRB,GJA1,AGT,EZR,WIF1,CCL2,TNC,APOC3,FBLN1,ID4,PAX6,PTTG1,TIMP1,KRT18,CDKN1A,CXCL14,TIMP3,APOE,SPP1,KRT19,LPL,PTN,CHI3L1,FOS
JUN	jun proto-oncogene	13	5.61e-08	2.72e-06	CDKN1A,APOC3,EDN1,CCL2,ACTA1,EZR,STMN1,PTN,TNC,GJA1,ELN,CA2,MMP1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	16	1.68e-06	5.43e-05	EDN1,PTGDS,MMP1,TNC,TFF3,TIMP1,GFAP,CDKN1A,CCNB1,ELF3,FN1,AGT,S100A6,LPL,A2M,CCL2
TWIST1	twist basic helix-loop-helix transcription factor 1	6	4.62e-06	9.62e-05	TIMP1,GDF15,MMP1,NR2F1,FN1,FOS
PPARD	peroxisome proliferator-activated receptor delta	4	4.96e-06	9.62e-05	SAT1,ANGPTL4,TIMP1,LPL
PPARG	peroxisome proliferator-activated receptor gamma	7	1.97e-05	0.000318	CDKN1A,SAT1,GDF15,ANGPTL4,APOB,MMP1,DBI
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	14	3.14e-05	0.000386	TFF3,ELF3,GFAP,CCL2,EDN1,TNC,TIMP1,CDKN1A,MMP1,AGT,CCNB1,FN1,LPL,S100A6
HDAC1	histone deacetylase 1	7	3.19e-05	0.000386	HMGCS1,SPP1,APOC3,SFRP1,FOS,HSPA5,CDKN1A
TP53	tumor protein p53	10	4.67e-05	0.000503	S100B,AFP,GDF15,MKI67,PTTG1,MMP1,CDKN1A,VCAN,CCNB1,CRYAB
BRCA1	breast cancer 1, early onset	6	8.18e-05	0.000734	CDKN1A,KRT18,HSPA5,ASPM,CCNB1,FOS
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	8.32e-05	0.000734	FOS,TIMP1,CYR61,GFAP,A2M,CHI3L1,CDKN1A,MMP1,CCL2
HES1	hairy and enhancer of split 1, (Drosophila)	3	0.000107	0.000866	PTGDS,ASCL1,MAP2
